"beta"	"herit"	"p"	"sigmaA"	"sigmaX"	"sigmaE"	"p_x01"	"p_01"	"p_onlyX_01"	"x_005"	"nX_005"	"xOnly_005"	"p_x001"	"p_001"	"p_001onlyX"	"nSims"
"1"	0.0218305843797265	0.005	0.2	0.1	5	1	468	470	1	468	1	0	0	0	0	10000
"2"	0.043662806186323	0.01	0.2	0.1	5	1	3	474	3	0	472	1	0	472	0	10000
"3"	0.109185683337623	0.025	0.2	0.1	5	1	1414	1414	945	469	470	472	468	1	0	10000
"4"	0.218576506567055	0.05	0.2	0.1	5	1	2380	1906	497	1902	1428	21	944	946	6	10000
"5"	0.438805771441654	0.1	0.2	0.1	5	1	8091	7613	8565	7138	7604	7614	6181	4758	6657	10000
"6"	0.891218734841977	0.2	0.2	0.1	5	1	10000	9990	10000	10000	9990	10000	10000	9520	10000	10000
"7"	1.03185778723822	0.23	0.2	0.1	5	1	10000	9990	10000	10000	9990	10000	10000	9990	10000	10000
"8"	1.12731243820572	0.25	0.2	0.1	5	1	10000	9990	10000	10000	9990	10000	10000	9990	10000	10000
"9"	1.22430719558352	0.27	0.2	0.1	5	1	10000	9990	10000	10000	9990	10000	10000	9990	10000	10000
"10"	1.37306307131253	0.3	0.2	0.1	5	1	10000	9990	10000	10000	9990	10000	10000	9990	10000	10000
"11"	1.90550580711589	0.4	0.2	0.1	5	1	10000	9995	10000	10000	9995	10000	10000	9995	10000	10000
